County,State,FIPS,Population,Predicted Cases,ysim,Predicted Ratio,MAE,MAPE,Hospitalization NNT,Adjusted NNT,Cost ratio
Lackawanna, Pennsylvania,42069,210793,2375,2390,0.0113,122.5,0.05,13770,7840,0.2773
Lackawanna, Pennsylvania,26044,109825,79,N/A,0.0007,23.5,N/A,>100000,>100000,0.0164
Caldwell, Louisiana,22021,9960,21,21,0.0021,25.4,N/A,54794,29052,0.0458
Butte, California,6007,231256,630,645,0.0027,1.4,0,34633,20745,0.0857
Ellsworth, Kansas,20053,6196,9,9,0.0014,9,N/A,24675,13806,0.0849
Latah, Idaho,16057,40134,17,N/A,0.0004,35.4,N/A,>100000,>100000,0.0041
Latah, Idaho,26120,173588,988,997,0.0057,136.5,0.13,41459,22396,0.1856
Wayne, Michigan,26163,1753893,16882,16948,0.0096,10419.8,0.47,2163,1073,1.4723
Etowah, Alabama,1055,102501,1388,1396,0.0135,96.2,0.07,6701,3572,0.5135
Humboldt, Nevada,32013,16786,2,0,0.0001,3.9,N/A,2003,1263,2.7671
Bonner, Idaho,16017,44727,73,N/A,0.0016,20.3,N/A,>100000,>100000,0.0253
San Germn, Puerto Rico,72125,30228,4,N/A,0.0001,8.9,N/A,>100000,>100000,0.0054
Butler, Ohio,39017,382378,4327,4354,0.0113,298.8,0.07,5169,2846,0.3685
Johnson, Iowa,19103,151260,723,733,0.0048,75.3,0.11,11054,6172,0.2514
Grant, Washington,53025,97331,133,N/A,0.0014,10.9,0.08,>100000,>100000,0.0237
Auglaize, Ohio,39011,45804,20,N/A,0.0004,11.4,N/A,>100000,93796,0.011
Olmsted, Minnesota,27109,156277,3181,3190,0.0204,147.3,0.05,6224,3473,0.414
Hampton, Virginia,51650,134313,283,291,0.0021,21.7,0.07,62874,29874,0.0705
Hampton, Virginia,37186,11859,8,8,0.0007,20.5,N/A,83738,39984,0.0444
Wells, Indiana,18179,28206,6,N/A,0.0002,1.5,N/A,>100000,81057,0.0104
Austin, Texas,48015,29989,3,N/A,0.0001,3.7,N/A,>100000,>100000,0.0046
Hancock, Ohio,39063,75930,313,318,0.0041,61.2,0.22,18121,10265,0.1619
Rockland, New York,36087,325695,2688,2703,0.0083,583.9,0.2,4156,2394,0.5589
Montgomery, Indiana,18107,38346,3,N/A,0.0001,0.3,N/A,>100000,>100000,0.0018
Clayton, Iowa,19043,17556,1,0,0.0001,1,N/A,5647,3155,0.4792
Monroe, New York,36055,742474,784,831,0.0011,14.2,0.02,40307,21978,0.0473
Baca, Colorado,8009,3585,1,0,0.0003,0.9,N/A,205,119,14.52
Crenshaw, Alabama,1041,13824,32,32,0.0023,25.6,N/A,13714,7056,0.1427
Rogers, Oklahoma,40131,91984,17,N/A,0.0002,12.4,N/A,>100000,>100000,0.0011
Wythe, Virginia,51197,28754,53,54,0.0018,8.3,N/A,66295,36664,0.03
Bennington, Vermont,50003,35631,9,N/A,0.0003,12.9,N/A,>100000,>100000,0.0199
Jones, Mississippi,28067,68461,321,325,0.0047,38.6,0.11,49088,24913,0.0482
Overton, Tennessee,47133,22068,4,N/A,0.0002,2.3,N/A,>100000,>100000,0.0112
Clarke, Alabama,1025,23920,7,N/A,0.0003,12.9,N/A,>100000,>100000,0.0059
Lyon, Minnesota,27083,25629,16,15,0.0006,11.6,N/A,54957,31260,0.0456
Effingham, Georgia,13103,62190,65,68,0.001,61.8,0.64,44665,24042,0.0393
Clay, Texas,48077,10456,5,N/A,0.0004,10,N/A,>100000,66244,0.0231
Hennepin, Minnesota,27053,1259428,7365,7433,0.0058,2573.7,0.3,6946,3807,0.3842
Baker, Oregon,41001,16006,4,N/A,0.0002,0.4,N/A,>100000,62638,0.0525
Shelby, Alabama,1117,215707,907,921,0.0042,232.2,0.23,58634,31854,0.0554
Cavalier, North Dakota,38019,3829,5,3,0.0013,2.2,N/A,4589,2568,1.0164
Schuyler, Illinois,17169,6906,1,0,0.0002,0.1,N/A,312,173,4.2373
Canyon, Idaho,16027,223498,411,N/A,0.0018,7.1,0.02,>100000,72580,0.0571
Iberia, Louisiana,22045,70941,283,287,0.004,2.5,0.01,16545,8319,0.1657
Ottawa, Kansas,20143,5802,1,0,0.0002,1.4,N/A,351,197,5.9073
Wayne, Mississippi,28153,20298,2,1,0.0001,2.4,N/A,6151,2976,0.7525
Meade, Kansas,20119,4146,3,1,0.0006,0.6,N/A,45238,27204,0.0423
Augusta, Virginia,51015,75457,35,N/A,0.0005,8.4,N/A,>100000,94913,0.023
Redwood, Minnesota,27127,15249,1,0,0.0001,0.2,N/A,2229,1259,1.1437
Pitt, North Carolina,37147,179914,518,530,0.0029,5.6,0.01,33120,16602,0.0437
Sanpete, Utah,49039,30623,1,0,0,0.5,N/A,7384,4272,0.7552
Jefferson, Alabama,1073,659300,9181,9221,0.0139,16.2,0,5441,2630,0.7562
Livingston, Kentucky,21139,9242,1,0,0.0001,0.2,N/A,1265,708,2.0475
Butte, Idaho,16023,2611,1,0,0.0004,0.2,N/A,130,73,60.251
